stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,0,0,0.51,0,0,3.64
3dpf,0.41,0.8,0,0.46,0,1.14
5dpf,1.35,0,0.29,0.46,0.64,11.92
10dpf,2.44,1.22,1.21,0.57,0,6.25
