stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,2.2,0,0.86,2.81,0
3dpf,29.01,0,0,0.59,0
5dpf,0,0,0,2.31,0.66
10dpf,5.71,2.11,0.47,0,0
