stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,76.62
12hpf,0,0,0,0,0,0,0,0,18.27
14hpf,0,0,0,0,0,0,0,0,279.56
16hpf,0,0,0,0,0,0,0,0,21.23
19hpf,1.81,0,0,0,0,0,0,0,363.67
24hpf,0,0,0,0,0,0,0,0,55.78
2dpf,5.38,0,0.59,1.51,0.57,3.6,0,0,188.36
3dpf,5.8,5.89,0.35,0.37,1.01,2.63,0.39,0,95.94
5dpf,2.04,2.89,0.75,1.44,0.51,12.28,0,0.6,315.23
10dpf,13.19,3.09,1.15,0,0,2.38,0,0,151.06
