stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0,0,0,0.55,0.65
3dpf,0.79,0.31,0,0,0
10dpf,1.29,0,1.7,0,1.03
