stage,central_nervous_system,intermediate_mesoderm,mesenchyme
19hpf,0,3.13,0
24hpf,0,27.45,0
2dpf,2.11,25.51,0.49
3dpf,0,0.32,1.2
5dpf,0.34,13.98,0.57
10dpf,0,1.47,0
