stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.93,0,0,0,0,0,0,0,0,0
12hpf,310.53,17.06,26.58,25.58,112.16,19.31,0,29.17,103.06,206.97
14hpf,106.31,7.4,27.38,7.04,25.03,28.84,2.32,0,21.85,59.59
16hpf,46.77,17.68,3.86,9.53,31.91,9.5,1.68,0,32.24,52.85
19hpf,24.78,0,0,6.58,1.5,0,1.79,0,1.53,1.89
24hpf,234.28,4.66,16.51,15.36,42.32,22.24,18.4,2.63,32.03,45.46
2dpf,505.18,5.8,48.35,62.97,150.86,305.55,52.88,7.03,92.08,185.08
3dpf,1429.53,10.07,10.5,22.03,21.4,308.52,13.22,0,15.22,47.89
5dpf,74.53,8.81,46.74,39.95,23.37,208.14,16.58,9.77,28.77,135.87
10dpf,350.25,8.7,37.13,23.3,6.98,106.17,9.28,0,6.85,37.67
