stage,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,8.1,0,0.57,0
5dpf,17.6,66.51,0,7.7,0
10dpf,0,0.68,29.65,0,0.85
