stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
19hpf,0,0,0,0,0,0,0,3.47
24hpf,0,0,0,0,0,0,0,10.26
2dpf,35.76,1.1,1.28,1.03,2.11,0,3.02,177.02
3dpf,4.93,0.99,0,0.8,0.84,0,0,77.65
5dpf,5.47,0,0,0.75,9.25,0.29,0.31,155.76
10dpf,9.76,1.19,2.05,0.64,1,0,1.2,219.68
