stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0.48,0,0,11.2,0
5dpf,1.16,0,0,0.59,0,1.05,0
10dpf,5.63,7.41,0,0,1.83,0.72,0.56
