stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
19hpf,1.6,0,0,0,0,0,0,0
24hpf,0,0,0,0,0.82,0,0,0
2dpf,13.76,0.87,0,4.29,2.27,0,1.59,0.58
3dpf,21.43,0,0,2.08,9.44,0,0.99,0.33
5dpf,6.14,0,1.51,1.81,12.61,0.99,0,1.17
10dpf,19.59,0,0,0.53,47.87,0,0.54,1.42
