stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,2.4,1.12,0,1.01,0,2.31
3dpf,1.99,0,0,0.66,0,0.57,0
5dpf,0.99,0.73,0,3.28,0,0,0.68
10dpf,1,1.45,0,1.59,0,0,1.4
