stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,4,0,48.24,6.85,0,3.89,1.14
3dpf,9.44,0.81,17.07,61.74,0,11.66,0.83
5dpf,0,5.34,39.86,110.81,0.65,63.92,3.47
10dpf,0.86,0,6.71,104.11,0,11.48,0.62
