stage,central_nervous_system,endoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,1.12,0,0,0,0,2.09,0
3dpf,4.48,0.51,1.1,0,0,0,0
5dpf,0,0,0.76,0.75,0.69,0,0.32
10dpf,3.22,0,2.39,0.37,0,0,0
