stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,1090.97,8.83,0,0,145.87,0,0,1425.26,9.14
12hpf,1429.13,11.2,0,0,208.11,3.36,6.96,1366.22,73.07
14hpf,537.64,5.09,0,0,12.63,2.55,4.84,298.17,46.49
16hpf,262.53,0,0,0,25.81,2.7,0,93.77,21.73
19hpf,367.96,0,0,0,9.53,0,0,58.96,1.62
24hpf,78.29,0,0,0,1,1.73,0.9,29.09,0.93
2dpf,33.36,0,2.33,0,2.72,5.16,0,0.61,1.49
3dpf,7.3,0.35,0,0.57,0,7.35,0,0,1.76
5dpf,8.59,0.54,1.59,1.49,0,14.12,0,1.59,2.6
10dpf,6.43,0,0,0.63,0,1.93,0,0,0
