stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,147.3
12hpf,0,0,0,0,0,0,0,0,5.89
14hpf,0,0,0,0,0,0,0,0,309.47
16hpf,0,0,0,0,0,0,0,0,36.26
19hpf,1.73,0,0,0,0,0,0,0,412
24hpf,0.83,0,0,0,0,0,0,0.88,46.39
2dpf,29.22,4.26,0.9,2.52,1.5,4.23,3.46,1.57,380.28
3dpf,12.49,19.8,0,0.95,0,0.89,0,0,173.37
5dpf,26.46,8.7,1.45,0,0.34,8.98,4.3,2.42,361.86
10dpf,19.04,9.33,1.58,0,0,0.84,24.54,0,170.38
