stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,151.53,0,32.56,0,43.86,0,0,22.02,68.85,130.83
12hpf,883.43,49.45,32.73,44.11,168.66,41.56,1.77,115.41,341.23,479.73
14hpf,181.92,2.77,53.12,11.55,21.31,23.06,6.91,8.02,35.69,117.72
16hpf,897.11,55.52,77.62,27.03,226.86,131.99,44.99,81.92,268.47,498.44
19hpf,375.89,1.57,18.71,12.82,51.13,22.79,73.2,7.99,34.11,192.8
24hpf,144.7,6.76,16.68,7.25,53.77,25.97,164.39,2.6,62,81.36
2dpf,350.73,17.06,13.8,49.41,119.16,270.62,176.67,16.39,73.92,202.01
3dpf,577.24,30.95,10.72,18.59,12.64,205.96,12.12,0,15.45,63.43
5dpf,211.88,30.04,23.5,57.73,25.06,508.27,61.37,32.3,77.8,359.44
10dpf,531.09,52.98,13.67,30.25,22.36,209.07,21.78,0.94,21.63,53.4
