stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,4.52,0,0.55,0.98,0.99,0,2.52
3dpf,3.73,0,0,0.9,0.43,0,2.35
5dpf,2.81,1.04,0,1.46,0.44,0.52,3.02
10dpf,7.47,0,0,0.54,0,0,8.71
