stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0.59,0,0.97,0.61,0
3dpf,0.69,0,0,0,0
5dpf,1.56,0,0.31,0,1.32
10dpf,3.65,1.47,0,0.44,0.86
