stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
3dpf,0.33,0,0,0,1.5
5dpf,0.73,0,0,0,5.4
10dpf,0,1.27,1.07,0.46,0.64
