stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest
2dpf,1.99,0,1.24,0.83,0,0
3dpf,1.03,0,0,0,0,0
5dpf,0,0,0.63,0,0,0.99
10dpf,0,0.56,0,0,1.59,0
