stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,11.22
12hpf,0,0,0,0,0,0,0,9.08,4.51
14hpf,2.56,0,0,0,3.82,2.6,0,29.68,19.25
16hpf,0,0,0,2.08,0,0,0,8.49,5.3
19hpf,1.53,0,0,0,0,0,7.64,0,0
24hpf,3.96,0,0,0,1.96,0,207.37,1.49,0.98
2dpf,19.21,0,0,1.52,21.08,24.71,608.04,14.67,16.54
3dpf,15.86,0.63,0,0.33,3.11,22.22,1.04,2.74,2.93
5dpf,4.2,0.41,0.84,1.61,2.49,19.83,76.68,9.02,16.32
10dpf,116.75,3.51,0.75,1.12,3.48,19.11,150.02,0,0.85
