stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord
2dpf,0,0,0.96,1.58,0,0
3dpf,0,2.25,0.42,0.54,0,0
5dpf,0.86,2.18,5.25,2.46,1.72,0.36
10dpf,3.03,4.12,0.53,9.01,0,0
