stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0.89,0,0,0
3dpf,0,0,0,0.75
5dpf,0.32,0.3,0.79,1.56
10dpf,0.81,0,0,0
