stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
19hpf,0,0,2.84,0,0,0
2dpf,0,0,0,0,2.32,0
3dpf,0.5,0,0.9,0.9,0,0.39
5dpf,0,0,0,0,0,0.32
10dpf,0,0.91,0,0.52,0,2.76
