stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0.73,0,7.58
3dpf,0.36,0,0,0.49,0.86
5dpf,0,1.1,0,0.43,4.64
10dpf,1.11,0,0.43,0,2.42
