stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,2.45,0,0,0
3dpf,1.68,0,0.32,0
5dpf,0,0.29,1.25,0.4
10dpf,0.98,0.66,0,0
