stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord
2dpf,0,0.9,0.58,0,0
3dpf,0,0,0,0.85,0
5dpf,0.95,0,1.09,0.43,0.78
10dpf,1.67,0,0.4,0,0
