stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,8.75,0,0,0,3448.1,0
12hpf,0,0,3.61,0,2.41,0,2.34,747.77,4.93
14hpf,0,0,0,0,0,0,0,755.61,0
16hpf,14.71,0,0,0,0,0,0,863.83,2.01
19hpf,0,0,0,0,0,0,0,177.14,0
24hpf,0.95,0,0,0,0,0,0,78.24,2.7
2dpf,2.82,0,0,0.56,1.93,0,0,0.65,0
3dpf,8.2,0,0,1.35,7.21,0.3,0,0.67,0.64
5dpf,5.34,0.43,0.96,1.77,13.58,1.33,0,1.34,5.94
10dpf,9.38,0,0,0,1.07,0,0,0,0
