stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,88.2
12hpf,0,0,0,0,5,12.58,0,8.65,0
14hpf,0,0,0,0,0,0,0,0,27.96
16hpf,0,0,1.82,0,24.15,0,0,0,105.17
19hpf,0,0,0,0,8.53,0,46.95,0,55.61
24hpf,8.3,0,152.28,0,9.24,5.47,371.28,8.87,380.41
2dpf,24.22,2.3,99.76,2.39,2.6,6.09,54.99,0.86,174.09
3dpf,11,5.37,111.95,0.73,0.42,142.84,0,0.67,269.36
5dpf,1.96,5.23,205.75,3.4,1.24,48.63,4.48,0.7,352.01
10dpf,24.12,1.22,116.61,22.16,3.35,11.99,15.18,3.3,681.4
