stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
3dpf,0,0.64,0,0,0.36,0,0.34
5dpf,0.98,0.98,0.52,0,0,0.83,0
10dpf,30.64,0,0,0.45,0.53,0,0
