stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord
2dpf,3.92,0,0,0,0.63,0.59
3dpf,11.91,0.82,0.47,0.47,0,0
5dpf,2.18,0,0,1.6,0,0
10dpf,2.11,0,0,0,2.23,0
