stage,central_nervous_system,endoderm,hematopoietic_system,neural_crest,notochord
2dpf,0,0,0,0.52,0
3dpf,2.7,0,0,0,0
5dpf,0,0,0.49,0,0.77
10dpf,3.5,1.44,0,0,0
