stage,central_nervous_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,1.05,0,1.82
3dpf,1.78,0,0.36,0,0,0.38
5dpf,0,0.73,0,0,0,1.29
10dpf,0.81,2.06,0,0,0.77,0
