stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,0.49,0,3.21
3dpf,3.63,0,0,0.39,0,0.34,0.31
5dpf,1.17,0,0.87,0,0.84,0,5.86
10dpf,3.32,0.39,0,0.51,1.03,0,0
