stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,0,0,0,0,0,0.92
2dpf,2.28,0,0,2.32,0,0,0.57,20.17
3dpf,0,0,0.33,0.33,0.32,2.2,0,3.64
5dpf,1.64,4.59,0,0.32,1.55,2.82,0.29,31
10dpf,0.85,3.19,0.45,0.54,1.6,3.99,0,13.42
