stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,2.29,0,0,1.44,0
3dpf,4.58,0,0.58,0,1.55
5dpf,7.87,0,1.81,0,3.14
10dpf,6.13,0.51,0,0,1.11
