stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.82,0,0,0,0,0,0,0,16.71
12hpf,1.78,8.03,4.58,0,1.89,0,0,0,28.17
14hpf,0,0,0,0,0,0,0,0,10.53
16hpf,0,5.47,2.36,0,0,0,0,0,25.31
19hpf,0,0,0,0,0,0,0,0,5.92
24hpf,0.85,2.22,0,0,0,0,0,0,3.37
2dpf,8.3,4.61,5.99,4.82,1.93,0.97,0,0,71.18
3dpf,5.83,2.98,0,0,2.55,0,0,1.11,17.63
5dpf,5.45,7.66,2.08,2.32,4.93,0,0.43,1.61,77.38
10dpf,4.31,2.68,3.04,0.5,2.78,0,0,0.57,17.17
