stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,3.44,0,0,0,0
3dpf,7.21,0,0.75,0,0
5dpf,1,0.93,0,0.96,0.76
10dpf,3.35,0,0,0,0.81
