stage,endoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0,0,0,1.93
3dpf,0.9,0.49,0,0,0.32
5dpf,1.24,0,0.44,0.36,1.49
10dpf,5.49,0,0,0,1.18
