stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0,0,0,0,0.52,0
3dpf,0.41,0,0,2.52,0,0
5dpf,0.5,0,0,4.22,0,0
10dpf,0.38,0.58,0.63,8.64,0,0.99
