stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,periderm
24hpf,0,0,0,0,1.41
2dpf,0,0,0,0.78,0
3dpf,0,0,0,0,0.32
10dpf,0.56,2.68,1.16,0,0
