stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
3dpf,5.04,0,0,0,0
5dpf,0.38,0,0.71,1.57,0
10dpf,66.7,1.05,0,0.78,0.84
