stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,6.89,0,0
3dpf,0,1.04,0,0
5dpf,0,14.92,0,0
10dpf,1.52,4.08,1.51,0.55
