stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.21,0,0,0,0,0,0,0,9.43,0
12hpf,0,0,1.99,0,0,0,0,0,0,1.92
14hpf,2.32,0,0,0,0,0,0,0,0,2.41
16hpf,0,0,0,1.81,0,0,0,0,1.66,4.13
19hpf,3.99,0,0,1.91,0,0,0,0,0,1.54
24hpf,1.8,0,0.9,2.03,0.82,0,0.92,0,1.89,1.75
2dpf,124.36,5.24,13.99,33.01,49.37,90.23,12.17,0,20.9,51.68
3dpf,358.29,9.3,14.4,26.16,13.66,188.76,5.48,0,12.38,29.34
5dpf,95.48,14.78,54.32,71.07,17.79,240.02,19.31,8.22,30.4,144.8
10dpf,243.78,25.76,61.91,45.84,12.94,178.18,10.72,0.71,16.36,59.78
