stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.1,0,0,0.84,0,0
3dpf,0,0,0.47,0,0,0
5dpf,0,0,4.15,0,0.61,0.56
10dpf,3.05,0.43,0,0,0.62,0.38
