stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,neural_crest,paraxial_mesoderm,periderm
2dpf,0.89,0,0,1.19,2.39,0.7,4.84
3dpf,1.63,0,0,0,0,0,1.59
5dpf,0,0.38,0.35,0,0,0,1.49
