stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,4.87,0,0.59,1.06,0.84,0
3dpf,0.91,0,0,0,0,0
5dpf,1.62,0,0,0,1.32,0.4
10dpf,0,0.6,0,0,0,0
