stage,central_nervous_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.32,0,0,1.73
3dpf,0,0,0.74,0
5dpf,0,0,1.03,0
10dpf,0,0.48,0,0
