stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
24hpf,2.09,0,0,0,0
2dpf,3.04,0,0,1.19,0
3dpf,47.19,0,0,1.3,0
5dpf,2.18,1.09,0.43,1.24,0
10dpf,41.86,0,0,0.48,0.65
