stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,0,1.79,0,0.75,0.52,0
3dpf,0,0,9.02,0,0,0
5dpf,0.29,0,7.44,0,2.87,0.7
10dpf,0,0,0.72,0,0,0
