stage,central_nervous_system,endoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,3.57,0,0,0,0
3dpf,8.02,0.37,0.35,0,0
5dpf,1.34,0,1.42,0.52,1.39
10dpf,2.52,0,0,0,0
