stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,1.13,0,0,0,0,0,8.87
3dpf,1.45,1.76,0,0,0.6,0.71,2.69
5dpf,0.91,0.29,1.01,1.3,0,0,21.03
10dpf,2.62,2.3,0,0,0,0,6.3
