stage,central_nervous_system,hematopoietic_system,neural_crest,periderm
2dpf,2.21,0,0,2.12
3dpf,1.11,0,0.4,0
5dpf,0.53,0.42,0,0.78
10dpf,1.25,0.53,0,0
