stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,1.86,0,0,1.79,0.66,3.43
3dpf,0,0,0.71,0,0,0
5dpf,0.77,0,2.61,0,0,1.02
10dpf,0,1.55,5.85,0,0,0
