stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0,0,0,0.61,0
3dpf,4.88,0.72,0,0,0
5dpf,0,0,0,0.67,102.1
10dpf,10.26,0,3.28,0,32.25
