stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1175.68,0,0,0,0,0,0,9.19,9.11
12hpf,2428.6,9.96,0,21.6,2.7,0,2.28,44.9,43.9
14hpf,423.72,0,0,0,2.56,2.23,0,0,5.64
16hpf,401.7,1.65,1.94,18.84,5.67,1.74,0,8.79,16.97
19hpf,291.41,0,0,3.32,3.17,0,0,0,0
24hpf,118.24,1.34,0,3.62,0.84,2.58,0,4.5,0
2dpf,154.28,0,0.52,9.77,19.23,5.5,0,11.69,0
3dpf,36.86,0,0,1.86,21.72,0.6,0,0.83,0
5dpf,6.02,0.58,0,0,20.41,2.25,0.29,2.65,0.66
10dpf,8.81,1.13,0,0.58,5.91,9.75,0,2.02,0.39
