stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.09,10.99,0,335.62,12.3,0,21.68,638.61,8.96
12hpf,15.02,5.43,60,401.82,56.06,0,177.24,2084.51,2.29
14hpf,0,0,2.54,6.16,0,0,0,43.32,0
16hpf,0,0,0,0,0,0,0,6.2,0
19hpf,0,0,1.54,0,0,0,0,0,0
24hpf,0,0,0,0,0,0,0,0.81,0
2dpf,1.83,0,0,0.84,2.5,0,0,0.68,0
3dpf,11.57,0,0.31,0,1.52,0.29,0,0,0.29
5dpf,0,0.74,0,2.23,7.12,0,0,0.56,0
10dpf,4.44,0.56,0.98,0,2.39,0,0,0,0
