stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,26.54,0,8.62,0,0,0,0,0,0
12hpf,16.4,2.2,11.36,0,4.56,1.91,0,6.28,5.4
14hpf,4.64,0,3.61,0,0,0,0,0,0
16hpf,6.08,0,0,1.64,0,1.86,0,3.83,0
19hpf,12.08,0,0,0,0,0,0,0,0
24hpf,12.56,0,0,0,4.62,0.95,0,0,0
2dpf,38.4,0,2.3,5.36,42.45,18.83,2.04,3.4,7.32
3dpf,33.97,0.87,0,1.23,1.23,8.05,1.25,1.2,1.57
5dpf,16.59,0,6.33,2.86,8.8,24.81,0.69,2.34,8.47
10dpf,18.12,0.93,2.57,1.46,0,0.46,0.62,0,0.84
