stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
24hpf,2.21,0,0,0,0,0,0
2dpf,49.61,0,0,2.95,3.37,0,3.59
3dpf,29.52,0,0,0,2.2,0,1.26
5dpf,18.6,0.4,1.07,2.04,2.87,1.65,0.62
10dpf,3.04,0,0,0,0,0,0
