stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,32.25,0,0,0,0,0,0,0,0
12hpf,9.48,0,0,0,0,0,0,1.89,0
14hpf,36.05,0,0,9.14,0,0,0,2.33,5.42
16hpf,19.17,0,0,18.38,0,0,0,2.24,1.71
19hpf,47.48,0,0,27.48,0,0,0,0,0
24hpf,82.73,0,0,0,0,0,1.15,1.81,2.81
2dpf,297.09,0,0.51,27.25,5.8,28.82,1.12,7.25,3.88
3dpf,62.31,0,0.85,2.53,0,8.63,0,0,0
5dpf,224.36,1.14,1.03,16.99,2.07,17.17,0.89,4.58,6.83
10dpf,58.54,1.89,1.49,7.07,0,6.39,0,1.69,3.77
