stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,3.86,0,0.62,2.13,0.55
5dpf,0,0,0.52,1.58,1.13
10dpf,2.71,2.11,0,0.44,0.61
