stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm,periderm
2dpf,0,2.38,0,0,0
3dpf,0.75,0,0,0,1.05
5dpf,0.32,9.53,0.32,1.43,21.81
10dpf,0,0.39,0,0,0
