stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,41.75,0,9.12,0,8.99,0,0,21,9.95,0
12hpf,175.53,4.33,13.2,10.72,41.61,14.03,0,20.62,47.1,55.42
14hpf,93.6,0,0,6.23,5.18,5.38,0,2.32,5.06,15.55
16hpf,112.38,7.03,14.63,13.66,20.61,19.43,0,7.6,28.04,27.2
19hpf,391.22,2.66,4.99,30.98,22.07,21.5,10.02,2.28,9.61,56.61
24hpf,498.6,1.9,84.66,67.85,69.08,45.96,47.1,0.85,64.83,56.17
2dpf,1105.73,12.66,95.49,132.14,283.83,556.46,217.52,10.84,146.29,209.81
3dpf,2012.96,18.1,52.87,39,31.42,490.73,18.79,0.53,20.41,46.12
5dpf,154.19,20.69,109.45,109.72,42.28,508.03,63.63,23.11,74.04,224.12
10dpf,897.57,71.5,112.33,109.79,35.55,618.45,62.16,0.57,99.51,88.16
