stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
10hpf,8.79,0,0,0,0,0
2dpf,88.14,0,17.39,0,0,0
3dpf,15.74,0,3.22,0.85,0,0.29
5dpf,52.49,1.43,3.6,1.16,0.37,0.44
10dpf,12.13,0.63,4.13,0.45,0.51,0
